1258,106,46
1258,105,136
1258,104,129
1258,103,93
1258,102,58
1258,101,80
1258,100,99
1258,99,141
1264,106,452
1264,105,446
1264,104,399
1264,103,320
1264,102,281
1264,101,236
1264,100,221
1796,106,28
1796,105,94
1796,104,54
1796,103,-19
1796,102,6
1796,101,-8
1796,100,-14
4205,106,265
4205,105,225
4205,104,182
4205,103,138
4205,102,135
4205,96,115
4205,95,114
4205,94,102
4207,106,200
4207,105,169
4207,104,9
4207,103,60
4207,102,220
4207,101,201
4207,100,37
4207,99,63
4712,106,-42
4712,105,-70
4712,104,-120
4712,103,-209
4712,102,-385
4712,101,165
4712,100,190
4712,99,-71
4303,106,1228
4303,105,14
4303,104,55
4303,103,69
4303,102,33
4303,101,-8
4303,100,-33
4303,99,-23
4304,106,-89
4304,105,-40
4304,104,-82
4304,103,-122
4304,102,-106
4304,101,-34
4304,100,-61
4304,99,4
4305,106,137
4305,105,165
4305,104,163
4305,103,129
4305,102,140
8354,106,119
8354,105,59
8354,104,75
8354,103,100
8354,102,178
8354,101,166
8354,100,136
8354,99,0
9950,106,-254
9950,105,30
9950,104,61
9950,103,80
9950,102,56
9950,101,53
9950,100,59
9950,99,63
4401,106,509
4401,105,525
4401,104,547
4401,103,440
4401,102,639
4401,101,283
4401,100,424
4401,99,389
4402,106,-48
4402,105,52
4402,104,-206
4402,103,-131
4402,102,-155
4402,101,-140
4406,106,-2
4406,105,10
4406,104,1
4406,103,-17
4406,102,-22
4413,106,21
4413,105,-8
4413,104,7
4413,103,-15
4413,102,-28
4413,96,-83
4413,95,-39
4413,94,-383
4417,106,235
4417,105,388
4417,104,283
4417,103,194
4417,102,139
4417,101,335
4417,100,111
4417,99,153
4419,106,48
4419,105,-35
4419,104,-79
4419,103,-58
4419,102,-90
4420,106,60
4420,105,23
4420,104,98
4420,103,30
4420,102,2
4429,106,-65
4429,105,8
4429,104,15
4429,103,20
4429,102,31
4432,106,59
4432,105,152
4432,104,260
4432,103,267
4432,102,202
4432,101,173
4432,100,138
4432,99,67
4433,106,10
4433,105,32
4433,104,70
4433,103,34
4433,102,66
4433,101,46
4433,100,38
4433,99,-21
1566,106,69
1566,105,70
1566,104,145
1566,103,26
1566,102,2
1566,101,17
1566,100,18
1566,99,33
1570,106,76
1570,105,64
1570,104,86
