1258,106,0.50,0.00
1258,105,1.32,0.00
1258,104,1.48,0.00
1258,103,1.30,0.00
1258,102,0.60,0.00
1258,101,0.80,0.00
1258,100,2.20,0.00
1258,99,0.00,0.00
1264,106,10.50,0.00
1264,105,10.00,1.00
1264,104,11.00,0.00
1264,103,10.00,0.00
1264,102,7.00,1.00
1796,106,1.00,0.00
1796,105,2.10,0.00
1796,104,0.00,0.00
1796,100,0.00,0.00
4205,106,3.00,0.00
4205,105,1.50,1.10
4205,104,2.00,0.00
4205,103,1.50,0.00
4205,102,2.00,0.00
4205,101,1.00,1.00
4205,100,2.00,0.00
4205,99,2.00,0.00
4205,98,1.00,1.00
4205,97,1.50,0.00
4207,106,0.80,0.25
4207,105,0.00,0.00
4207,104,0.00,0.00
4207,103,0.21,0.26
4207,102,0.59,0.40
4207,101,0.98,0.20
4207,100,0.00,0.25
4207,99,0.00,0.45
4207,98,0.00,0.45
4207,97,0.00,0.00
4712,106,0.00,0.00
4712,105,0.00,0.00
4712,104,0.00,0.00
4712,103,0.00,0.00
4712,102,0.00,0.00
4712,101,1.47,0.00
4712,100,0.35,1.39
4712,99,0.00,0.00
4712,98,0.00,0.00
4712,97,0.00,0.00
4303,106,30.00,25.00
4303,105,0.00,0.00
4303,104,0.30,0.30
4303,103,0.10,0.10
4303,102,0.00,0.00
4303,101,0.00,0.00
4303,100,0.00,0.00
4303,99,0.00,0.00
4303,98,0.00,0.00
4303,97,0.00,0.00
4304,106,0.00,0.00
4304,105,0.00,0.00
4304,104,0.00,0.00
4304,103,0.00,0.00
4304,102,0.00,0.00
4304,101,0.00,0.00
4304,100,0.00,0.00
4304,99,0.00,0.00
4304,98,0.00,0.00
4304,97,0.00,0.00
4305,106,2.40,0.00
4305,105,2.40,0.00
4305,104,2.30,0.00
4305,103,1.80,0.00
4305,102,1.80,0.00
4305,101,1.70,0.00
4305,100,1.10,0.00
4305,99,0.80,0.00
4305,98,1.20,0.00
4305,97,0.70,0.00
8354,106,0.50,1.00
8354,105,0.50,0.00
8354,104,0.70,0.00
8354,103,0.80,0.00
8354,102,0.40,0.60
8354,101,0.40,0.40
8354,100,0.40,0.40
8354,99,0.10,0.40
8354,98,0.00,0.00
8354,97,0.32,0.00
9950,106,0.00,0.00
9950,105,0.00,0.30
9950,104,0.34,0.50
9950,103,0.44,0.75
9950,102,1.12,0.00
9950,101,1.06,0.00
9950,100,1.19,0.00
9950,99,1.27,0.00
9950,98,1.60,0.00
9950,97,0.84,0.00
4401,106,3.00,0.00
4401,105,3.60,0.00
4401,104,3.60,0.00
4401,103,3.50,0.00
4401,102,3.70,0.00
4401,101,2.20,0.00
4401,100,2.20,0.00
4401,99,2.00,0.00
4401,98,1.00,0.00
4401,97,0.70,0.00
4402,106,0.00,0.00
4402,105,0.00,0.00
4402,104,0.00,0.00
4402,103,0.00,0.00
4402,102,0.00,0.00
4402,101,0.00,0.00
4402,100,0.00,0.00
4402,99,0.00,0.00
4402,98,0.00,0.00
4402,97,0.00,0.00
4406,106,0.00,0.00
4406,105,0.00,0.00
4406,104,0.00,0.00
4406,103,0.00,0.00
